postal_code,country,time_init_utc,date_valid_std,doy_std,min_temperature_air_2m_f,avg_temperature_air_2m_f,max_temperature_air_2m_f,min_temperature_wetbulb_2m_f,avg_temperature_wetbulb_2m_f,max_temperature_wetbulb_2m_f,min_temperature_dewpoint_2m_f,avg_temperature_dewpoint_2m_f,max_temperature_dewpoint_2m_f,min_temperature_feelslike_2m_f,avg_temperature_feelslike_2m_f,max_temperature_feelslike_2m_f,min_temperature_windchill_2m_f,avg_temperature_windchill_2m_f,max_temperature_windchill_2m_f,min_temperature_heatindex_2m_f,avg_temperature_heatindex_2m_f,max_temperature_heatindex_2m_f,min_humidity_relative_2m_pct,avg_humidity_relative_2m_pct,max_humidity_relative_2m_pct,min_humidity_specific_2m_gpkg,avg_humidity_specific_2m_gpkg,max_humidity_specific_2m_gpkg,min_pressure_2m_mb,avg_pressure_2m_mb,max_pressure_2m_mb,min_pressure_mean_sea_level_mb,avg_pressure_mean_sea_level_mb,max_pressure_mean_sea_level_mb,min_wind_speed_10m_mph,avg_wind_speed_10m_mph,max_wind_speed_10m_mph,avg_wind_direction_10m_deg,min_wind_speed_80m_mph,avg_wind_speed_80m_mph,max_wind_speed_80m_mph,avg_wind_direction_80m_deg,min_wind_speed_100m_mph,avg_wind_speed_100m_mph,max_wind_speed_100m_mph,avg_wind_direction_100m_deg,tot_precipitation_in,tot_snowfall_in,min_cloud_cover_tot_pct,avg_cloud_cover_tot_pct,max_cloud_cover_tot_pct,min_radiation_solar_total_wpm2,avg_radiation_solar_total_wpm2,max_radiation_solar_total_wpm2,tot_radiation_solar_total_wpm2
68739,US,2020-04-08 12:00:00 UTC,2020-04-18,109,32.99,42.12,51.03,30.93,36.96,42.68,24.48,28.88,32.59,26.94,36.3,46.12,26.94,36.3,46.12,33.35,42.12,50.72,46,60,77,2.92,3.52,4.1,957.22,960.84,963.34,1012.36,1015.77,1018.53,4.9,10.83,19.21,186.58,8.45,15.39,27.8,189.79,9.15,16.03,29.16,190.2,0.0,0.0,22,43,84,0.0,277.9,750.0,6669.3
54963,US,2020-04-08 12:00:00 UTC,2020-04-18,109,26.69,36.08,46.17,25.28,32.01,38.76,20.47,24.24,29.29,22.04,31.5,41.31,22.04,31.5,41.31,27.05,36.08,45.81,42,64,84,2.4,2.83,3.48,985.38,987.5,989.44,1014.8,1017.3,1019.9,3.08,5.89,10.71,37.18,5.03,8.35,12.47,46.11,5.35,8.7,12.61,47.0,0.0,0.0,0,28,95,0.0,289.6,760.0,6951.3
51052,US,2020-04-08 12:00:00 UTC,2020-04-18,109,31.37,42.29,52.29,29.23,36.65,42.51,21.34,26.22,33.56,30.52,39.23,49.0,30.52,39.23,49.0,31.79,42.29,52.16,32,56,79,2.53,3.13,4.18,972.74,975.36,977.67,1014.18,1017.1,1019.4,1.04,6.5,12.81,182.44,1.63,9.13,20.73,188.0,1.55,9.49,21.83,188.95,0.0,0.0,0,5,45,0.0,308.8,880.0,7410.3
50471,US,2020-04-08 12:00:00 UTC,2020-04-18,109,30.11,40.21,49.23,28.09,34.62,40.17,20.41,23.32,27.36,26.36,37.6,47.09,26.36,37.6,47.09,30.29,40.21,49.1,32,53,77,2.44,2.75,3.26,974.81,976.82,978.78,1014.81,1017.39,1019.75,1.54,3.75,7.28,94.31,2.3,5.21,13.56,118.84,2.31,5.47,14.56,121.59,0.0,0.0,0,27,83,0.0,297.6,820.0,7141.3
53913,US,2020-04-08 12:00:00 UTC,2020-04-18,109,25.97,36.24,46.58,24.82,32.15,38.85,21.6,24.34,27.9,21.65,32.05,41.36,21.65,32.05,41.36,26.33,36.24,46.58,40,64,84,2.52,2.85,3.31,979.26,981.26,983.13,1014.93,1017.32,1019.76,1.65,5.94,11.19,33.95,3.65,9.05,13.97,37.88,4.06,9.6,14.22,39.04,0.0,0.0,0,12,48,0.0,300.0,810.0,7199.3
54655,US,2020-04-08 12:00:00 UTC,2020-04-18,109,24.71,35.79,47.25,23.42,31.86,39.78,19.02,24.56,31.95,20.44,32.28,42.85,20.44,32.28,42.85,25.25,35.79,46.76,43,65,83,2.27,2.92,3.91,976.6,978.42,980.13,1015.03,1017.41,1019.73,0.39,4.79,9.45,25.4,0.71,7.28,11.81,27.95,0.74,7.66,11.99,29.12,0.0,0.0,0,30,95,0.0,289.0,770.0,6935.3
96024,US,2020-04-08 12:00:00 UTC,2020-04-18,109,39.31,53.42,70.29,39.84,46.4,53.85,32.82,37.97,41.53,41.16,53.54,69.98,41.16,53.54,69.98,40.43,53.42,69.98,25,63,95,4.45,5.42,6.18,903.05,905.18,906.78,1010.45,1012.94,1014.92,0.09,2.49,6.24,104.72,0.84,3.27,5.13,102.28,0.86,3.42,5.2,103.68,0.0,0.0,0,28,84,0.0,303.0,910.0,7272.3
73011,US,2020-04-08 12:00:00 UTC,2020-04-18,109,34.45,44.82,56.97,32.15,39.52,46.9,27.56,32.06,38.03,24.63,38.74,53.65,24.63,38.74,53.65,34.85,44.82,56.66,41,62,82,3.27,3.96,5.01,972.84,975.01,976.41,1015.28,1017.3,1019.61,5.03,12.61,18.1,352.21,8.57,17.31,24.93,355.8,8.92,17.85,25.65,356.28,0.0,0.0,0,34,100,0.0,317.1,940.0,7610.3
33863,US,2020-04-08 12:00:00 UTC,2020-04-18,109,71.87,80.83,92.79,69.18,71.82,73.57,63.54,67.41,71.17,76.95,84.11,94.85,72.96,80.83,92.61,76.95,84.11,94.85,38,67,87,12.91,14.56,16.42,999.67,1003.86,1007.53,1005.61,1009.28,1012.53,5.32,15.28,24.19,209.42,8.65,22.44,34.13,210.66,8.99,23.28,35.49,210.76,0.15,0.0,0,56,96,0.0,301.9,750.0,7245.3
34759,US,2020-04-08 12:00:00 UTC,2020-04-18,109,71.33,80.45,92.43,69.73,71.83,74.2,62.32,67.61,71.06,76.38,83.86,95.21,72.05,80.45,92.07,76.38,83.86,95.21,38,69,89,12.39,14.62,16.3,1001.13,1005.54,1009.36,1005.33,1009.2,1012.63,4.2,13.31,22.09,210.7,7.47,21.02,32.15,213.12,8.01,21.99,33.59,213.14,0.16,0.0,15,69,100,0.0,244.5,691.0,5868.3
34219,US,2020-04-08 12:00:00 UTC,2020-04-18,109,71.87,80.07,89.37,70.1,72.95,74.28,66.98,69.76,72.44,76.62,84.15,92.89,72.41,80.07,89.19,76.62,84.15,92.89,48,73,92,14.39,15.65,17.1,1004.41,1007.82,1011.1,1006.03,1009.28,1012.35,5.33,16.66,26.48,204.21,9.85,23.94,34.49,205.7,10.62,24.71,35.73,205.89,0.13,0.0,0,43,82,0.0,312.5,800.0,7500.3
61412,US,2020-04-08 12:00:00 UTC,2020-04-18,109,27.23,36.11,45.45,26.66,32.97,39.46,24.39,27.81,30.94,17.11,28.57,38.38,17.11,28.57,38.38,27.83,36.11,45.32,56,73,87,2.82,3.27,3.71,987.75,989.14,990.15,1013.98,1015.79,1016.83,2.43,11.85,17.8,27.39,4.07,17.81,23.51,29.46,4.32,18.64,24.15,30.06,0.0,0.0,0,62,100,0.0,277.5,770.0,6659.3
52802,US,2020-04-08 12:00:00 UTC,2020-04-18,109,27.23,36.77,46.04,26.1,32.96,39.27,22.24,26.25,30.4,18.26,29.95,39.68,18.26,29.95,39.68,27.95,36.77,46.04,48,67,87,2.57,3.07,3.63,988.38,989.88,990.84,1014.41,1016.3,1017.49,2.35,10.4,15.71,26.38,3.66,16.21,21.29,29.94,3.74,16.97,21.74,30.73,0.0,0.0,10,41,94,0.0,303.0,850.0,7271.3
