postal_code,country,time_init_utc,time_valid_utc,doy_utc,hour_utc,time_valid_lcl,dst_offset_minutes,temperature_air_2m_f,temperature_wetbulb_2m_f,temperature_dewpoint_2m_f,temperature_feelslike_2m_f,temperature_windchill_2m_f,temperature_heatindex_2m_f,humidity_relative_2m_pct,humidity_specific_2m_gpkg,pressure_2m_mb,pressure_mean_sea_level_mb,wind_speed_10m_mph,wind_direction_10m_deg,wind_speed_80m_mph,wind_direction_80m_deg,wind_speed_100m_mph,wind_direction_100m_deg,precipitation_in,snowfall_in,cloud_cover_pct,radiation_solar_total_wpm2
29412,US,2020-04-08 12:00:00 UTC,2020-04-17 09:00:00 UTC,108,9,2020-04-17 05:00:00 UTC,-60,64.99,63.47,62.64,64.99,64.99,64.99,92.09,11.95,1018.34,1018.51,7.8,95.0,14.8,99.22,15.87,100.62,0.01,0.0,100,0.0
50040,US,2020-04-08 12:00:00 UTC,2020-04-16 12:00:00 UTC,107,12,2020-04-16 07:00:00 UTC,-60,31.66,27.54,17.11,27.84,27.84,31.66,54.44,2.09,982.38,1024.52,3.83,65.36,5.89,68.2,6.03,69.11,0.0,0.0,99,1.0
49406,US,2020-04-08 12:00:00 UTC,2020-04-13 11:00:00 UTC,104,11,2020-04-13 07:00:00 UTC,-60,34.3,33.0,31.04,21.09,21.09,34.3,87.69,3.76,975.53,998.27,27.99,284.3,35.56,284.03,36.32,284.08,0.0,0.0,100,0.0
55955,US,2020-04-08 12:00:00 UTC,2020-04-15 17:00:00 UTC,106,17,2020-04-15 12:00:00 UTC,-60,32.91,27.48,8.12,24.05,24.05,32.91,34.91,1.42,977.26,1023.55,11.34,290.35,13.94,289.75,14.17,289.69,0.0,0.0,29,483.5
48723,US,2020-04-08 12:00:00 UTC,2020-04-12 21:00:00 UTC,103,21,2020-04-12 17:00:00 UTC,-60,50.19,46.87,43.66,45.22,45.22,50.19,78.19,6.18,978.54,1004.13,13.51,118.2,21.04,120.99,21.99,121.59,0.0,0.0,100,70.0
07820,US,2020-04-08 12:00:00 UTC,2020-04-14 21:00:00 UTC,105,21,2020-04-14 17:00:00 UTC,-60,41.1,38.99,36.34,36.9,36.9,41.1,82.99,4.59,989.05,1016.2,6.24,235.08,9.23,235.68,9.61,236.14,0.01,0.0,100,320.0
72131,US,2020-04-08 12:00:00 UTC,2020-04-14 21:00:00 UTC,105,21,2020-04-14 16:00:00 UTC,-60,54.6,45.32,31.17,53.15,53.15,54.6,40.66,3.73,996.67,1021.19,5.95,147.97,6.01,133.6,6.03,133.14,0.0,0.0,0,870.0
58752,US,2020-04-08 12:00:00 UTC,2020-04-14 22:00:00 UTC,105,22,2020-04-14 17:00:00 UTC,-60,26.64,22.1,1.43,15.53,15.53,26.64,33.13,1.07,944.98,1025.53,13.0,331.05,15.66,331.24,15.88,331.22,0.0,0.0,100,728.1
41385,US,2020-04-08 12:00:00 UTC,2020-04-10 00:00:00 UTC,101,0,2020-04-09 20:00:00 UTC,-60,48.49,43.14,36.59,44.28,44.28,48.49,63.26,4.75,968.05,1006.51,9.63,277.48,22.76,280.22,24.5,280.56,0.0,0.0,65,457.0
42567,US,2020-04-08 12:00:00 UTC,2020-04-10 00:00:00 UTC,101,0,2020-04-09 20:00:00 UTC,-60,48.13,44.18,39.87,43.05,43.05,48.13,72.94,5.4,967.9,1007.62,11.98,268.62,26.82,273.81,28.67,274.33,0.0,0.0,24,517.0
29822,US,2020-04-08 12:00:00 UTC,2020-04-10 00:00:00 UTC,101,0,2020-04-09 20:00:00 UTC,-60,70.99,56.12,38.87,70.99,70.99,73.77,31.01,5.13,994.42,1005.19,12.3,284.63,22.09,288.34,23.38,288.27,0.0,0.0,0,534.0
29816,US,2020-04-08 12:00:00 UTC,2020-04-10 00:00:00 UTC,101,0,2020-04-09 20:00:00 UTC,-60,70.99,56.12,38.87,70.99,70.99,73.77,31.01,5.13,994.42,1005.19,12.3,284.63,22.09,288.34,23.38,288.27,0.0,0.0,0,534.0
61474,US,2020-04-08 12:00:00 UTC,2020-04-10 00:00:00 UTC,101,0,2020-04-09 19:00:00 UTC,-60,40.57,34.59,21.9,31.55,31.55,40.57,46.97,2.55,988.85,1013.08,18.61,318.81,30.05,319.38,31.46,319.52,0.0,0.0,99,471.0
51631,US,2020-04-08 12:00:00 UTC,2020-04-10 23:00:00 UTC,101,23,2020-04-10 18:00:00 UTC,-60,46.17,39.96,30.49,43.07,43.07,46.17,54.11,3.7,974.36,1014.36,6.01,192.17,13.15,199.89,13.99,200.15,0.0,0.0,73,575.0
33714,US,2020-04-08 12:00:00 UTC,2020-04-10 23:00:00 UTC,101,23,2020-04-10 19:00:00 UTC,-60,75.15,61.53,50.75,76.74,75.15,76.74,42.37,7.93,1011.8,1012.92,13.57,24.46,16.56,25.51,16.79,25.63,0.0,0.0,63,408.0
33742,US,2020-04-08 12:00:00 UTC,2020-04-10 23:00:00 UTC,101,23,2020-04-10 19:00:00 UTC,-60,75.15,61.53,50.75,76.74,75.15,76.74,42.37,7.93,1011.8,1012.92,13.57,24.46,16.56,25.51,16.79,25.63,0.0,0.0,63,408.0
33702,US,2020-04-08 12:00:00 UTC,2020-04-10 23:00:00 UTC,101,23,2020-04-10 19:00:00 UTC,-60,75.15,61.53,50.75,76.74,75.15,76.74,42.37,7.93,1011.8,1012.92,13.57,24.46,16.56,25.51,16.79,25.63,0.0,0.0,63,408.0
49262,US,2020-04-08 12:00:00 UTC,2020-04-08 14:00:00 UTC,99,14,2020-04-08 10:00:00 UTC,-60,55.73,52.45,49.9,54.8,54.8,55.73,80.69,7.93,966.7,1006.91,5.27,324.51,6.74,323.95,6.92,324.01,0.0,0.0,20,290.0
82937,US,2020-04-08 12:00:00 UTC,2020-04-15 18:00:00 UTC,106,18,2020-04-15 12:00:00 UTC,-60,36.62,30.82,20.48,26.78,26.78,36.62,51.61,3.02,787.03,1010.75,17.22,75.04,19.3,78.65,19.54,78.93,0.0,0.0,98,361.3
66010,US,2020-04-08 12:00:00 UTC,2020-04-10 05:00:00 UTC,101,5,2020-04-10 00:00:00 UTC,-60,38.93,33.78,23.52,31.78,31.78,38.93,53.59,2.74,984.5,1022.16,11.23,13.64,20.62,16.46,22.26,17.08,0.0,0.0,37,6.0
95992,US,2020-04-08 12:00:00 UTC,2020-04-17 23:00:00 UTC,108,23,2020-04-17 16:00:00 UTC,-60,70.9,60.11,51.88,75.84,70.9,75.84,50.98,8.24,1010.88,1012.48,8.49,177.2,10.23,179.27,10.45,179.31,0.0,0.0,66,807.6
51523,US,2020-04-08 12:00:00 UTC,2020-04-17 23:00:00 UTC,108,23,2020-04-17 18:00:00 UTC,-60,44.44,37.91,26.01,42.07,42.07,44.44,48.33,3.07,977.68,1018.13,4.43,71.6,5.58,65.65,5.72,64.72,0.0,0.0,100,674.3
37057,US,2020-04-08 12:00:00 UTC,2020-04-08 12:00:00 UTC,99,12,2020-04-08 07:00:00 UTC,-60,62.15,61.45,61.07,62.15,62.15,62.15,96.24,11.7,983.05,1009.79,3.51,213.38,8.94,234.22,10.07,238.04,,,,
38557,US,2020-04-08 12:00:00 UTC,2020-04-08 12:00:00 UTC,99,12,2020-04-08 07:00:00 UTC,-60,59.99,59.55,59.3,59.99,59.06,59.99,97.56,11.41,946.12,1010.31,7.5,276.69,14.88,277.2,16.23,277.83,,,,
